ID,FULL_NAME,AGE,GENDER,COUNTRY,CREDIT_LIMIT,CUSTOMER_LIFETIME_VALUE
CUST_bAfYMs7qXK,Catalina Contreras,48,FEMALE,CHILE,2178,96773
CUST_NFkN2MaCq4,Joaquín Torres,63,MALE,ARGENTINA,1048,19682
CUST_hOD30TzhPQ,Ethan Dubois,43,MALE,FRANCE,1114,20469
CUST_YumrS@DFcU,Maria Souza,46,FEMALE,BRAZIL,1387,54901
CUST_z2skb4Vyk@,Freya Evans,36,FEMALE,UNITED KINGDOM,4840,47233
CUST_XnMyVcoyu@,Valeria Sánchez,49,FEMALE,MEXICO,686,22415
CUST_EGjNBn1ZLg,Agustina Sánchez,47,FEMALE,ARGENTINA,1052,44591
CUST_doMWT5UCQi,Tijn Smit,51,MALE,NETHERLANDS,1892,48920
CUST_jNk@cBwxAP,Leandro Rodríguez,53,MALE,ARGENTINA,3951,25589
CUST_bd2WzzcalQ,João Rodrigues,61,MALE,BRAZIL,626,13022
CUST_B2Qcxy7m6g,Andrew Moore,50,MALE,UNITED STATES,2129,84950
CUST_EqG_xCIBFZ,Ginevra Greco,51,FEMALE,ITALY,4098,191444
CUST_X6fngYApEG,João Santos,43,MALE,BRAZIL,501,11981
CUST_h@ML_VTeEv,Santiago Romero,48,MALE,ARGENTINA,1354,55459
CUST_UFvwUPT_fe,Carlos Hernández,58,MALE,MEXICO,3954,15239
CUST_T61pMMXiFs,Tomás Sousa,51,MALE,PORTUGAL,485,5554
CUST_xwQqQM7etv,Beatriz Costa,53,FEMALE,BRAZIL,1488,34050
CUST_j0hfBMmySn,Léa Bernard,37,FEMALE,FRANCE,1873,68594
CUST_o8CIRxfQ5Y,Mia García,35,FEMALE,PERU,1712,4231
CUST_mXYe0CsmPq,Santiago Martínez,40,MALE,MEXICO,2699,67218
CUST_pELtdiZee@,Leonie Schäfer,58,FEMALE,GERMANY,999,9495
CUST_wD-_5sAGzv,Tomás Rodrigues,36,MALE,PORTUGAL,2120,77952
CUST_AQuzCqurMy,Nathan Moreau,39,MALE,FRANCE,3856,86917
CUST_V7SWDzchOE,Guilherme Sousa,45,MALE,PORTUGAL,976,45527
CUST_PkAFfCLACm,Juan Ramírez,51,MALE,MEXICO,1143,50477
CUST_a35lIOuACe,Diego García,44,MALE,SPAIN,1978,98505
CUST_a93IcI_oTs,Daniel Anderson,61,MALE,UNITED STATES,316,6073
CUST_yCSnEjzTl8,Lukas Wagner,36,MALE,GERMANY,1095,40039
CUST_869IDO-fz0,Francesco Esposito,46,MALE,ITALY,15758,27500
CUST_fQ9biWqQRB,Jacob Martin,44,MALE,CANADA,5960,37168
CUST_Kvou0za_mn,Max Schmidt,45,MALE,GERMANY,3119,86702
CUST_641SdTD6p0,Gustavo Lima,42,MALE,BRAZIL,2424,94177
CUST_DsaKP0Z3ox,Matheus Silva,39,MALE,BRAZIL,2269,34790
CUST_7Bz6QFgWOo,Laura Becker,56,FEMALE,GERMANY,3318,158089
CUST_ejP7s@wYgW,Mateo Sánchez,43,MALE,COLOMBIA,3987,130010
CUST_cmc8H@JqWm,Jules Durand,56,MALE,FRANCE,809,32877
CUST_Kt3M3Z5iVg,Carlos Rodríguez,36,MALE,COLOMBIA,1919,82335
CUST_ifJFkGZXAN,Ana Hernández,48,FEMALE,MEXICO,2586,30870
CUST_PGcan7Je34,Anna Schäfer,56,FEMALE,GERMANY,1276,9191
CUST_LI-inIgeXf,Emily Anderson,20,FEMALE,UNITED STATES,4842,93318
CUST_DNwCysxXGf,Anna Schäfer,56,FEMALE,GERMANY,11325,428225
CUST_wl3KUBSqqQ,Ben Schmidt,51,MALE,GERMANY,480,20720
CUST_9UCIPoruE5,Laura Fischer,60,FEMALE,GERMANY,4149,2202
CUST_KTDogD6aOF,Santiago Rodríguez,43,MALE,COLOMBIA,1058,27872
CUST_fvG7Hzo7Dv,Matthew Johnson,35,MALE,UNITED STATES,2521,37713
CUST_uzNcEMtgYk,Camila Sánchez,62,FEMALE,COLOMBIA,3728,158205
CUST_ey_RT6toWq,Emma Greco,40,FEMALE,ITALY,10146,6104
CUST_NTJuNmojbm,Agustina García,25,FEMALE,ARGENTINA,1007,43435
CUST_qa5won7GCm,Maximiliano Soto,44,MALE,CHILE,426,19555
CUST_sO8KEkdfAu,Carlos Martínez,51,MALE,MEXICO,7547,272025
CUST_fqzVtX@N_6,Camila Rodríguez,40,FEMALE,ARGENTINA,3557,75540
CUST_iK4oOsx1wJ,Martina Marino,46,FEMALE,ITALY,6558,242191
CUST_F_HIhpzqLr,Ariana López,45,FEMALE,PERU,11927,42257
CUST_-KLITeX9_c,Camila Sánchez,52,FEMALE,COLOMBIA,2886,77131
CUST_UXtjN2tUXt,Adam Durand,59,MALE,FRANCE,1369,10437
CUST_tRWs@DaEaN,Camila Torres,49,FEMALE,COLOMBIA,2991,41508
CUST_mPfz1kJPRU,Olivia Johnson,42,FEMALE,UNITED STATES,391,7583
CUST_juKz0RBC5t,David Wilson,65,NON-BINARY,UNITED STATES,1028,47393
CUST_3g6mDYNoCB,Ben Hoffmann,39,MALE,GERMANY,3941,134321
CUST_KuazCAOOZe,Hannah Müller,47,FEMALE,GERMANY,3302,31624
CUST_G3tydg_A25,Ava Davis,60,FEMALE,UNITED STATES,488,13863
CUST_-d4o2@CBjp,Daniela Sánchez,46,FEMALE,MEXICO,481,15658
CUST_ZbqQj_N5ug,Leon Schmidt,44,MALE,GERMANY,5525,217530
CUST_VjCv@3E3HR,Oliver Roy,36,MALE,CANADA,974,47336
CUST_9nTE9zhrw_,Ana Pereira,59,FEMALE,BRAZIL,1037,15228
CUST_afXShgVW8J,Charlotte Miller,38,FEMALE,UNITED STATES,3633,170112
CUST_QiDeS8U1eH,Gabriel Santos,49,MALE,BRAZIL,1315,28612
CUST_g7XHIn7@da,Camila Souza,40,FEMALE,BRAZIL,2632,63260
CUST_lA1nPBT6sW,Benjamín Soto,53,MALE,CHILE,1127,41281
CUST_6Ke5vAvbmK,Chiara Esposito,43,FEMALE,ITALY,1983,75291
CUST_omrLYFw7vD,Camila Huamán,49,FEMALE,PERU,632,30187
CUST_a-ycmXQZOA,Robert Smith,64,MALE,UNITED STATES,341,2327
CUST_H2XJCedfFc,Bruno Alves,60,MALE,BRAZIL,1550,29741
CUST_3-DHUGQWTi,Nathan Thomas,41,MALE,FRANCE,1626,8566
CUST_p3RFeh0Hhw,Gustavo Rodrigues,49,MALE,BRAZIL,1964,93881
CUST_xdIoqn00pf,Beatriz Pereira,38,NON-BINARY,BRAZIL,590,6777
CUST_G5QHIkTVuc,Inès Robert,42,FEMALE,FRANCE,530,1189
CUST_BQV7tbFnuM,Gabriel Richard,87,MALE,FRANCE,2577,62391
CUST_lQKVV7cbxB,Fernanda Pereira,50,FEMALE,BRAZIL,1856,77985
CUST_2KimZZaG4N,Gabriel Dubois,46,MALE,FRANCE,1973,43283
CUST_aogDv5guv4,Alice Romano,49,FEMALE,ITALY,538,8582
CUST_qqa06SkCwM,Tomás Fernández,41,MALE,ARGENTINA,1264,60641
CUST_B7xsI8HXlg,Gabriel Alves,49,MALE,BRAZIL,340,10071
CUST_yqGX-u_mq3,Jules Moreau,70,MALE,FRANCE,749,32955
CUST_rOa3dWoRZO,John Moore,41,MALE,UNITED STATES,2253,5910
CUST_w78uuHrdPu,Daniel Davis,61,MALE,UNITED STATES,3928,164892
CUST_XwLv2MGe_Y,Jacob Tremblay,37,MALE,CANADA,3583,31340
CUST_0kCARpCsWD,Jorge Sánchez,29,MALE,MEXICO,1466,47994
CUST_OTvExnetOF,Daniela Flores,51,FEMALE,PERU,1482,67981
CUST__rB_bTu7WE,Finn Müller,42,MALE,GERMANY,4493,82290
CUST_YQjGSTOiu-,Renata Huamán,58,FEMALE,PERU,1400,19646
CUST_abrosz81GV,Lucas Bakker,50,MALE,NETHERLANDS,912,14651
CUST_-Ru_qBCg7X,Joseph Brown,47,MALE,UNITED STATES,17696,121020
CUST_kK_sQnGIaK,Luis Gonzales,58,MALE,PERU,6902,231760
CUST_JHn0ofLQxs,Ana Pérez,63,FEMALE,MEXICO,1059,28162
CUST_r0kLP2-QuB,Diego Díaz,45,MALE,SPAIN,1976,64750
CUST_DVoyU0MjVH,Tomás Pérez,55,MALE,ARGENTINA,1557,65902
CUST_PcF9pScbIA,Hugo Martin,48,MALE,FRANCE,247,6434
CUST_EdMSFEN5VX,Anna Weber,49,FEMALE,GERMANY,3569,137605
CUST_D9WGdbKw7d,Sofía Hernández,49,FEMALE,SPAIN,4089,132122
CUST_0nhCCdRh89,Olivia Wilson,56,FEMALE,UNITED STATES,4404,81438
CUST_xurUjLgp2H,Sofía López,47,FEMALE,MEXICO,550,24526
CUST_Qcz0IsNAk0,Inès Thomas,51,FEMALE,FRANCE,3306,144028
CUST_MrNo@wnB5I,Michael Anderson,35,MALE,UNITED STATES,562,12857
CUST_RURYzK-Cdp,Carla Ruiz,56,FEMALE,SPAIN,4295,2935
CUST_TmBPLh7vSm,Tommaso Colombo,30,MALE,ITALY,21459,1016084
CUST_Vf9b7a5C0P,Mia Wagner,58,FEMALE,GERMANY,224,3721
CUST_s@aCVz4RQc,Leonie Wagner,45,FEMALE,GERMANY,8517,391957
CUST_C-l9AikZ9I,Amanda Oliveira,33,FEMALE,BRAZIL,4634,45836
CUST_pCmSeNCxP3,Léa Dubois,51,FEMALE,FRANCE,677,31431
CUST_2wX5eh6yyG,Carlos Ramírez,33,MALE,MEXICO,940,23098
CUST_OUAqNYVqn6,Grace Taylor,36,FEMALE,UNITED KINGDOM,1005,48556
CUST_HyIWsIh3tf,Alice Martin,36,FEMALE,FRANCE,5288,96233
CUST_lZuBDcGe0v,Adam Petit,41,MALE,FRANCE,493,8978
CUST_1n@vEyMwqc,Lotte van Dijk,59,FEMALE,NETHERLANDS,2736,97136
CUST_KKx6QmSIcl,Inès Laurent,67,FEMALE,FRANCE,2392,113629
CUST_tzj@ZR-uU9,José Hernández,58,MALE,MEXICO,1352,11798
CUST_D54BVVY4iu,Nicolás Sepúlveda,50,MALE,CHILE,1622,79475
CUST_6Yztb3EJ6k,Marie Wagner,48,FEMALE,GERMANY,1538,68288
CUST_jCpy0zjG7h,Guadalupe Hernández,59,FEMALE,MEXICO,2797,93912
CUST_nqLChNwSYh,Charlie Roberts,52,MALE,UNITED KINGDOM,1167,24175
CUST_6TN6V7YUN4,Louis Thomas,40,MALE,FRANCE,1295,39237
CUST_XMq8dA6@hs,Emily Johnson,27,FEMALE,UNITED STATES,1470,61626
CUST_xlVfIJt9nd,Julia Hernández,42,FEMALE,SPAIN,4151,109613
CUST_Qyp8lxVbrD,Diego Lima,53,MALE,BRAZIL,714,7378
CUST_9kXLB3Bokb,Emma Meyer,40,FEMALE,GERMANY,5445,177785
CUST_KaN6LYy7Rn,James Miller,52,MALE,UNITED STATES,3634,69566
CUST_QZHdqwZqmf,Sophia Taylor,34,FEMALE,UNITED STATES,873,30537
CUST_PbKFHhoTe9,Bruno Costa,27,MALE,BRAZIL,315,11156
CUST_0GQ0bq6BbF,Lina Hoffmann,55,FEMALE,GERMANY,636,30798
CUST_ljT00A-doG,Adam Petit,33,MALE,FRANCE,1224,26439
CUST_rIlHX-_Lck,Julia Ferreira,49,FEMALE,BRAZIL,1978,68216
CUST_mNSnPfltZj,Francesca Romano,52,FEMALE,ITALY,4172,121431
CUST_NSv6eaOD2w,Sofía Sánchez,51,NON-BINARY,PERU,1798,31615
CUST_1_w0rlO-B1,Carlos Sánchez,45,MALE,MEXICO,305,13724
CUST_0VI_yJ1O4L,Emilia Díaz,43,FEMALE,CHILE,3878,79260
CUST_nffeoFAP9a,Ethan Martin,45,MALE,FRANCE,809,17103
CUST_lDW@4imMI7,Lina Martin,43,FEMALE,FRANCE,3129,130840
CUST_-q26yjE1z-,María Hernández,39,FEMALE,COLOMBIA,3818,124313
CUST_6APQP2bVCf,Amanda Silva,52,FEMALE,BRAZIL,11070,514865
CUST_fUeRR9G0zo,Alejandro Gómez,36,MALE,SPAIN,1375,45077
CUST_wU3nh6KD9b,Mia Miller,46,FEMALE,UNITED STATES,759,20411
CUST_rCuZeldIlu,Emily Wilson,47,FEMALE,UNITED STATES,3675,161330
CUST_itsO5DhX_8,Fernando Huamán,40,MALE,PERU,661,6116
CUST_j91laigxub,Léa Thomas,51,FEMALE,FRANCE,1265,61801
CUST_XL0WF-rOmJ,Santiago Pérez,61,MALE,PERU,23161,578597
CUST_QCMxHF84Fw,Beatriz Souza,57,FEMALE,BRAZIL,1005,9434
CUST_T74vSer5NJ,Bruno Silva,31,MALE,BRAZIL,584,28166
CUST_96x3d2yK_s,Emma Jansen,50,FEMALE,NETHERLANDS,8838,162467
CUST_Laa0trrZOO,Tijn Bakker,56,MALE,NETHERLANDS,1699,24426
CUST_tZKg4Ch_o8,Andrew Thomas,41,MALE,UNITED STATES,866,39834
CUST_mh3pxBGDly,Larissa Oliveira,57,FEMALE,BRAZIL,2793,21620
CUST_FFnEdd2Tpp,Inès Thomas,56,FEMALE,FRANCE,1165,15269
CUST_N4bzHcklkc,Agustín Díaz,52,MALE,CHILE,4658,181623
CUST_@eKx5HB@Ez,Camila Lima,46,FEMALE,BRAZIL,1268,19096
CUST_8vzOmoAeDP,Emma Fischer,47,FEMALE,GERMANY,3300,164132
CUST_khBSfdGoOk,Ana Rodríguez,53,FEMALE,ARGENTINA,461,22988
CUST_eK9JaDgPQk,Rafael Alves,42,MALE,BRAZIL,3017,126601
CUST_hRH81MvTFa,Mía Rodríguez,36,FEMALE,ARGENTINA,588,11991
CUST_ABPbQLrduA,Freya Evans,68,FEMALE,UNITED KINGDOM,685,5236
CUST_CucQt0WtbH,Diego Pérez,35,MALE,ARGENTINA,9084,80461
CUST_r2ZAzB5yZJ,John Smith,43,MALE,UNITED STATES,6255,78287
CUST_FIIIrMF5tt,Ana Ramírez,43,FEMALE,MEXICO,1312,6226
CUST_Z9CLl-uMHO,Emma Marino,50,FEMALE,ITALY,835,10548
CUST_p7_5N23qUr,Beatriz Costa,56,FEMALE,BRAZIL,2177,20928
CUST_DQmSwSwvou,Emma Ruiz,31,FEMALE,SPAIN,3495,2526
CUST_J1d3ywuL8h,Afonso Rodrigues,37,MALE,PORTUGAL,3363,140720
CUST_xtgaJ4vWxY,Mia Schmidt,63,FEMALE,GERMANY,3173,21443
CUST_YJkd1X0vrB,Mariana Souza,51,FEMALE,BRAZIL,1532,14183
CUST_lOhqUvFyQq,Poppy Davies,30,FEMALE,UNITED KINGDOM,1496,64737
CUST_EqipGnNvwq,Jorge Sánchez,38,MALE,MEXICO,244,2739
CUST_kj_QQPxtBT,Mia Schmidt,43,FEMALE,GERMANY,9567,164515
CUST_Md@DMVS9kA,Lucas Brown,64,MALE,CANADA,2060,30239
CUST_uHBySWp0vN,Joseph Moore,49,MALE,UNITED STATES,971,24383
CUST_v8F1DeDazA,Felix Meyer,56,MALE,GERMANY,1714,50330
CUST_LKb5krJfJo,Maria Rodrigues,56,FEMALE,PORTUGAL,3094,77674
CUST_XRFLrADP5g,Miguel Huamán,51,MALE,PERU,378,4828
CUST_Jgd6uGIuCU,Carolina Santos,57,FEMALE,BRAZIL,2082,39026
CUST_RHpWQPkgq6,Ava Brown,39,FEMALE,UNITED STATES,9169,312845
CUST_Ls3Goa7WN0,Laura Wagner,62,FEMALE,GERMANY,1942,17013
CUST_nwn5Wlt4fU,Andrés Ramírez,51,MALE,COLOMBIA,1036,5508
CUST_f4D1AN_sSg,Samuel González,59,NON-BINARY,COLOMBIA,283,10063
CUST_hJnj91iYk6,Diego Sánchez,40,MALE,ARGENTINA,1694,28397
CUST_9IFMLscm_9,Rafael Lima,37,MALE,BRAZIL,598,6685
CUST_biZ80OKn6Z,Paul Becker,56,MALE,GERMANY,4576,45774
CUST_fG9PrSXvwh,Martina Marino,50,FEMALE,ITALY,343,6418
CUST_FAc1s--x41,Daniel Johnson,70,MALE,UNITED STATES,958,44138
CUST_l9zXrusM8t,Jade Laurent,39,FEMALE,FRANCE,3061,16017
CUST_9mWeqxhD0r,Ben Wagner,47,MALE,GERMANY,2338,105239
CUST_xMUnm3spPF,Tiago Pereira,39,MALE,PORTUGAL,9980,318869
CUST_df1NKkJCSd,Harper Davis,30,FEMALE,UNITED STATES,621,28765
CUST_GoLaT8WKkW,Antonia Pérez,38,FEMALE,CHILE,1481,68743
CUST_sQxW2_7P00,Camila Ramírez,30,FEMALE,MEXICO,4466,209926
CUST_7SJZx6IPfX,Alice Laurent,38,FEMALE,FRANCE,3312,160540
CUST_zyrBpX70Ss,Afonso Ferreira,47,MALE,PORTUGAL,217,8709
CUST_ZH_Dmg@hmB,Gabriel Souza,36,MALE,BRAZIL,773,35725
CUST_4mJBS8tDNR,Alice Petit,49,FEMALE,FRANCE,1017,4488
CUST_R-WEajskxU,Lucas Roy,58,MALE,CANADA,1813,55055
CUST_62qPJitIGk,Matthew Taylor,53,MALE,UNITED STATES,919,7484
CUST_1OJL86ARSq,Sophie Bakker,65,FEMALE,NETHERLANDS,1986,75491
CUST_JL@kmTM7IK,Hugo Petit,38,MALE,FRANCE,1765,85028
CUST_b99Uh_bh3x,Harper Smith,52,FEMALE,UNITED STATES,644,26897
CUST_ansZuGvaSw,Julia van den Berg,58,FEMALE,NETHERLANDS,1748,40846
CUST_Z7dGJ-ph_I,Ava Smith,48,FEMALE,UNITED STATES,2255,73151
CUST__yesyMMevO,Leandro Sánchez,34,MALE,ARGENTINA,3886,17667
CUST_Z8@2YAfe-X,Ana Romero,67,FEMALE,ARGENTINA,3158,80760
CUST_o9zPYsmEsd,Léa Moreau,33,FEMALE,FRANCE,2252,32116
CUST_Qa0Hua4kw3,Nathan Richard,49,MALE,FRANCE,6342,269792
CUST_CFABFFlyob,Eva Visser,53,FEMALE,NETHERLANDS,1125,45923
CUST_MI69Jj8aCw,María Pérez,37,FEMALE,MEXICO,423,10168
CUST_wtUlCAJpIV,Ángel Sánchez,44,MALE,MEXICO,1377,8693
CUST_T@NvEJycal,Anna Schäfer,46,FEMALE,GERMANY,860,28574
CUST_Ue7dtHtpY_,Valeria Pérez,44,FEMALE,MEXICO,2075,81963
CUST_s1etAnhun_,Anna Visser,44,FEMALE,NETHERLANDS,1791,2826
CUST_McMYrBNsJb,Guilherme Sousa,53,MALE,PORTUGAL,1157,35168
CUST_7TCEjmtSlO,Andrea Torres,67,FEMALE,MEXICO,1094,19632
CUST_jfpdWHQm3R,Daniela Huamán,48,FEMALE,PERU,516,10418
CUST_u879sYh9zF,Emma Taylor,54,FEMALE,UNITED STATES,7682,270439
CUST_cV8xtu6YJS,José González,69,MALE,MEXICO,2183,33737
CUST_JZ7qFjXFei,Ava Johnson,44,FEMALE,UNITED STATES,1722,56110
CUST_RYEQZcmD8v,Matheus Souza,43,NON-BINARY,BRAZIL,2459,54154
CUST_R56JDTLCkp,Louis Thomas,52,MALE,FRANCE,1077,11022
CUST_R9ZZK02oeQ,Maria Santos,47,FEMALE,PORTUGAL,3984,3585
CUST_tTZFsqYtcI,Martim Silva,44,MALE,PORTUGAL,1658,29625
CUST_2Js96NgblV,Gustavo Rodrigues,50,MALE,BRAZIL,2332,50385
CUST_QD-Ma_Q9vV,Louise Robert,36,FEMALE,FRANCE,1173,22276
CUST_m6nj9C7DKF,Camila Santos,51,FEMALE,BRAZIL,3800,30433
CUST_S3uGh8Co-P,Felix Wagner,53,MALE,GERMANY,1509,43060
CUST_FuvmKXJvRU,Sophie Janssen,43,FEMALE,NETHERLANDS,1270,36855
CUST_nQc6cSMHea,Matthew Miller,43,MALE,UNITED STATES,1084,21924
CUST_9iWR5Wsc1A,Luuk Smit,31,MALE,NETHERLANDS,1378,20930
CUST_odKIbVPEAj,Paulina Flores,52,FEMALE,MEXICO,5843,113108
CUST_iI@YgT6Pio,John Thomas,37,MALE,UNITED STATES,1348,63756
CUST_SKBkiAexdU,Rafael Santos,34,MALE,BRAZIL,384,10636
CUST_Bvptx-D-X7,Mia Müller,41,FEMALE,GERMANY,2063,87219
CUST_fwHBnoaXUp,Manon Martin,57,FEMALE,FRANCE,3773,187823
CUST_00f6VeqcwK,Amanda Oliveira,40,FEMALE,BRAZIL,8818,335517
CUST_gwvFHpOAja,Beatriz Souza,32,FEMALE,BRAZIL,1365,10040
CUST__O9aQ6NCls,Luca Rossi,61,MALE,ITALY,9118,42339
CUST_qm8KSdvZh_,Camila Costa,40,FEMALE,BRAZIL,2065,40282
CUST_m-Mp1_@lzM,Adam Richard,59,MALE,FRANCE,2127,6616
CUST_krNO53GUTH,Bruno Lima,21,MALE,BRAZIL,1548,63608
CUST_2@ov2syCq@,Fernanda Hernández,40,FEMALE,MEXICO,676,24983
CUST_3dMFdbrkrM,Andrew Moore,46,MALE,UNITED STATES,2030,26283
CUST_0m@CEFjxh5,Isabella Torres,45,FEMALE,COLOMBIA,2262,12941
CUST_mgA7YQx9gs,Felix Fischer,58,MALE,GERMANY,4038,57122
CUST_U1lVsGrn_B,Sofía González,54,FEMALE,MEXICO,7374,260469
CUST_7lInb8rykj,Ethan Bernard,39,MALE,FRANCE,5637,42533
CUST_nDg-vTjMwR,Finn van Dijk,58,MALE,NETHERLANDS,369,16038
CUST_G6pYumj20M,Chloé Thomas,33,FEMALE,FRANCE,1223,54182
CUST_h5AP3M5Fn1,Lina Schäfer,56,FEMALE,GERMANY,461,3214
CUST_DiATWtT3U8,Amelia Anderson,34,FEMALE,UNITED STATES,3493,115026
CUST_4-03dt7hnQ,Freya Roberts,56,FEMALE,UNITED KINGDOM,1362,56960
CUST_h8ZI3hM-UE,Amelia Wilson,30,NON-BINARY,UNITED STATES,918,43582
CUST_-JoYFi4aSJ,Mateo Martínez,56,MALE,ARGENTINA,7503,21497
CUST_aa5p9brCjE,Alejandro Ramírez,36,MALE,MEXICO,4969,186175
CUST_UnRX3a9VEY,Santiago Torres,56,NON-BINARY,COLOMBIA,743,7241
CUST_Sj-bSlEaPV,Max Meyer,42,MALE,GERMANY,563,20705
CUST__uCZiZbHzi,Francesco Greco,38,MALE,ITALY,506,5740
CUST_G_zaCfmSZP,Isabella González,42,FEMALE,COLOMBIA,954,28379
CUST_B7upN5Fwmn,Inès Thomas,41,FEMALE,FRANCE,1507,71163
CUST_2aYP7zM6Hm,Guadalupe Pérez,49,FEMALE,MEXICO,1350,13314
CUST_sJKEmVcKUS,Felipe Costa,49,MALE,BRAZIL,3736,180067
CUST_ry-j0399jh,Nathan Laurent,40,MALE,FRANCE,862,9426
CUST_R-bKQpyN_a,Sebastián Díaz,52,MALE,CHILE,1365,6218
CUST__7Dl-Ae80r,Renata Sánchez,49,FEMALE,PERU,2115,68800
CUST_uu0gFg15OM,Emma Johnson,61,FEMALE,UNITED STATES,2049,21791
CUST_18u_Iox24H,Finn Müller,52,MALE,GERMANY,377,18520
CUST_lkoSU2s_Pv,Elias Weber,46,MALE,GERMANY,2796,39513
CUST_JgY8_J48u@,Leonie Weber,46,FEMALE,GERMANY,557,20584
CUST_ZE29YNbZ_3,Emma Laurent,42,FEMALE,FRANCE,3876,38059
CUST_IbCFufDY7d,Fernanda Ramírez,50,FEMALE,MEXICO,4092,133966
CUST_z4gclrBDAm,Carlos García,50,MALE,MEXICO,550,9539
CUST_oyQpSTLqPH,Santiago Pérez,41,MALE,MEXICO,2736,32127
CUST_5AFsjJ7_lQ,Juan Martínez,41,MALE,MEXICO,1559,32386
CUST_eosAlhX7Fe,Sofía Huamán,42,FEMALE,PERU,5433,19883
CUST_UMANqVV5Pf,Camila Oliveira,64,FEMALE,BRAZIL,1133,50714
CUST_8@DJsegVFv,Valeria Pérez,61,FEMALE,MEXICO,6660,16599
CUST_4YS099GNBD,Alice Robert,45,FEMALE,FRANCE,737,5703
CUST_BDze@q73Mz,Marie Fischer,45,FEMALE,GERMANY,4889,127913
CUST_hyZdDPFDIO,Olivia Taylor,44,FEMALE,UNITED KINGDOM,4385,169791
CUST_L5MjLa_cEX,Gabriel Lima,52,MALE,BRAZIL,772,18420
CUST_Qshp@KvJnS,Emma López,49,FEMALE,SPAIN,891,27184
CUST_QTyubm@_Xs,Martina Rojas,40,FEMALE,CHILE,838,30024
CUST_8mlx4HGUiB,Daan Smit,48,MALE,NETHERLANDS,1544,10299
CUST_x-SwpIFyy0,Max Becker,46,MALE,GERMANY,1388,56508
CUST_6Kc8u-MWUz,Guadalupe Ramírez,48,FEMALE,MEXICO,712,10939
CUST_WmJTR5psWc,Lina Fischer,35,FEMALE,GERMANY,7242,11024
CUST_bIhtiv@UPu,Benjamín Morales,50,MALE,CHILE,2900,128131
CUST_CMGU0Fvvi9,José Martínez,42,MALE,MEXICO,1758,11262
CUST_xpGtSOfAD5,Luis Torres,34,MALE,MEXICO,2346,104543
CUST_TJrAp5rtx3,Jade Dubois,48,FEMALE,FRANCE,1210,41292
CUST_7kopRdXN8k,Emma Wagner,60,FEMALE,GERMANY,975,37070
CUST_k2WpEVlbc0,Maria Ferreira,34,FEMALE,BRAZIL,1462,29031
CUST_hxsRicwGxx,Daan Smit,50,MALE,NETHERLANDS,3980,48498
CUST_Nfm8iAl_JE,Andrea Sánchez,41,FEMALE,MEXICO,968,19515
CUST_qQ9aRqz@hH,Agustina Martínez,54,FEMALE,ARGENTINA,2613,102620
CUST_oe17tAj9tG,Margarida Costa,53,FEMALE,PORTUGAL,9310,128770
