ID,FIRST_NAME,LAST_NAME,AGE,GENDER,COUNTRY,CUSTOMER_SINCE,CREDIT_LIMIT,CUSTOMER_LIFETIME_VALUE
CUST_C9FPcPXPoN,Sofía,Rojas,34,Male,Chile,2017-10-08,1312,60255
CUST_NJ-wubv9u2,Valentina,Souza,42,Male,Brazil,2025-02-26,968,17623
CUST_7e2ggW0KMK,Isabella,Miller,48,Male,United States,2023-03-28,3989,93268
CUST_M3z4jpf2Wy,Isidora,Silva,37,Male,Chile,2022-09-30,840,37772
CUST_dc_a0wp-EL,Lukas,Müller,50,Female,Germany,2019-10-05,602,1703
CUST_Bo74NMfKfa,Laura,Lima,42,Male,Brazil,2021-01-12,2315,90983
CUST_2GUHr2_pJy,Elijah,Williams,44,Male,United States,2016-12-14,1534,35257
CUST_9wcymUWeJP,Noah,Macdonald,42,Male,Canada,2016-04-25,590,11291
CUST_0rOVhxOP3i,Arthur,Bernard,64,Female,France,2019-02-26,3208,72573
CUST_ETrs_hVBaO,Mateo,Flores,47,Female,Peru,2020-03-30,2746,58284
CUST_1Gr3cqAotW,Emma,Jones,37,Female,United States,2019-11-23,1308,49642
CUST_Wc1wX@DI0m,Sofía,Ramírez,54,Female,Peru,2022-09-09,1391,64589
CUST_IcElvjL3to,Noah,de Vries,36,Female,Netherlands,2016-10-14,2761,68548
CUST_yRPUPFFUc@,Sophia,Bauer,49,Male,Germany,2023-04-29,5278,220200
CUST_G6G4emWXQm,Emma,Jones,29,Female,United States,2020-04-21,1402,51497
CUST_v3NdoofFa3,Leonardo,Rossi,35,Male,Italy,2024-02-13,3259,54975
CUST_YI7iDPQdQ_,Ava,Williams,49,Male,United States,2016-01-26,3007,88923
CUST_24FxiZIdPS,Inès,Martin,54,Male,France,2016-08-06,3989,133661
CUST_N0BVTE5X3q,Manon,Dubois,49,Male,France,2016-07-02,1873,3115
CUST_ShBjQWF@@u,Matías,Rojas,46,Male,Chile,2021-11-02,795,15979
CUST_QSCbTgUTc0,Jules,Dubois,44,Female,France,2023-02-17,1192,59166
CUST_GD4XhJkZ81,Sophia,Schneider,34,Male,Germany,2023-06-01,2462,78893
CUST_uWrFYsV0e2,Tess,de Boer,41,Female,Netherlands,2022-09-03,9289,158332
CUST_ER8UaZqVA_,Rodrigo,Costa,43,Female,Portugal,2023-08-17,1170,15065
CUST_twdZ2Zq2hz,Jules,Richard,57,Male,France,2017-02-22,3731,40554
CUST_rnLTKzYGWO,Mia,Müller,50,Male,Germany,2023-03-17,1346,27433
CUST_gqJ1cF2jZT,Florencia,López,31,Female,Chile,2022-11-29,1997,20103
CUST_sP@roeFt2o,Lucas,Muñoz,50,Male,Chile,2016-09-24,7072,50860
CUST_bEf8tAc5Ip,Sofía,Pérez,44,Female,Mexico,2019-09-24,3597,66621
CUST_85LHH-kiRQ,Raphaël,Bernard,41,Male,France,2023-03-16,592,18084
CUST_MrOVQpnAjB,Valentina,Rodrigues,53,Male,Brazil,2015-07-28,1080,8367
CUST__41r5HjwUD,Noah,Roberts,56,Female,United Kingdom,2022-04-23,5600,15092
CUST_-7Q43mS1kp,Antonia,López,55,Female,Chile,2023-09-21,2054,4548
CUST_k3peR1HY3P,Heitor,Ferreira,39,Male,Brazil,2023-03-20,643,8832
CUST_xoL6j_CMxB,Luis,López,44,Female,Mexico,2016-09-21,865,8573
CUST_dzBnnbrLt_,Leon,Fischer,50,Female,Germany,2023-02-18,3405,92593
CUST_mLPqBVCpZd,María,Huaman,56,Female,Peru,2023-10-20,4425,102032
CUST_hHWap_a23R,Mateo,Fernández,43,Male,Argentina,2017-09-09,1837,30450
CUST_l8ZNPvf5Jk,Mateo,Flores,45,Female,Mexico,2021-10-09,16777,700614
CUST_XP-qRevzmx,Santiago,López,37,Male,Mexico,2024-12-20,3796,96779
CUST_6ag7v3GxaF,María,García,36,Non-Binary,Spain,2018-01-01,1452,7305
CUST_f6BUgEEjNk,Sophia,Becker,54,Female,Germany,2023-03-10,868,13142
CUST_6@AXCZWq24,Jules,Petit,59,Female,France,2017-03-28,752,36608
CUST_gI2r4RoZ40,Olivia,Macdonald,46,Female,Canada,2018-01-12,2445,119464
CUST_FFnEdd2Tpp,Inès,Dubois,56,Female,France,2016-01-19,1165,15269
CUST_zSwmrwgDDU,Harry,Smith,50,Female,United Kingdom,2016-07-03,8155,71586
CUST_vZoQaOAARt,Daan,Janssen,41,Female,Netherlands,2022-09-14,6766,169397
CUST__rZlp8s9@E,María,Pérez,50,Male,Peru,2018-06-29,3196,77767
CUST_bd2WzzcalQ,Theo,Lima,61,Female,Brazil,2020-10-11,626,13022
CUST_k74FmS5oZz,Jules,Martin,47,Male,France,2019-12-20,987,26356
CUST_rMYKGB_XcT,Hannah,Bauer,61,Female,Germany,2020-08-28,5598,67141
CUST_5_MZ7hjBx2,Sofía,Sánchez,23,Female,Mexico,2016-12-25,1089,6740
CUST_jNKmxBfm1E,Amelia,Johnson,54,Female,United Kingdom,2019-05-20,4964,142655
CUST_SNeNPHIjJD,Emma,Bernard,48,Female,France,2021-08-08,2771,129305
CUST_gzXfkHJH0R,Sofía,Pérez,44,Male,Colombia,2018-05-27,1894,13861
CUST_osYV_ip-QE,Elijah,Johnson,48,Female,United States,2023-03-03,960,33973
CUST_iRs_@36H1@,Camila,Ramírez,29,Male,Mexico,2018-12-01,1661,36834
CUST_gPFVZ2vCA6,Ava,Williams,45,Female,United States,2024-07-03,2145,32286
CUST_JFVCZc3aLb,Thiago,Romero,50,Female,Argentina,2022-11-01,4579,195656
CUST_w1LG8Zn3X@,Sophie,Jansen,60,Female,Netherlands,2022-06-28,815,18824
CUST_a-DqV1Lp-I,Louis,Robert,42,Female,France,2020-09-28,1427,41917
CUST_0hLq9RnqlU,Oliver,Williams,40,Female,United Kingdom,2021-05-29,1882,42216
CUST_ylU9DT3eu-,Emma,Johnson,42,Male,United States,2016-06-11,3283,14845
CUST_zXxgerC@Xp,Inès,Dubois,55,Female,France,2016-04-20,798,23898
CUST_E82XT2fRYk,Léa,Richard,50,Female,France,2018-08-31,553,11742
CUST_2k8cA9c-A-,Noah,Garcia,42,Male,United States,2018-01-17,3316,15898
CUST_VKrmNeMLhX,Sofía,Gómez,52,Male,Colombia,2016-09-30,461,13827
CUST_iCAhsGNExS,Camila,Sánchez,48,Female,Mexico,2020-07-13,5747,5682
CUST_E1eSkNB5Ov,Benjamín,González,56,Female,Argentina,2015-05-10,1571,17001
CUST_Q2zYeeSXV4,Hannah,Schneider,41,Female,Germany,2019-06-01,449,17584
CUST_uPlOH4bU-S,Martim,Rodrigues,44,Female,Portugal,2022-07-18,1173,2789
CUST_9ilbWaTSo_,Davi,Rodrigues,43,Female,Brazil,2023-11-05,2543,82675
CUST_LgDMgs6gGx,Liam,Johnson,34,Male,United States,2017-11-18,1119,53164
CUST_fHbH40M2qP,Maria,Santos,50,Female,Portugal,2022-01-06,1841,16521
CUST_R3GARuDjHg,Valeria,Pérez,49,Male,Mexico,2023-04-29,3519,74416
CUST_k5EfHN8_jf,George,Evans,47,Female,United Kingdom,2021-03-19,1507,43684
CUST_Eyzu3pxnqV,Leon,Schulz,45,Female,Germany,2022-01-20,778,17735
CUST_@UrcwhGxJB,Ava,Taylor,34,Female,United Kingdom,2018-05-31,1381,43099
CUST_ff5ucYU4-c,Raphaël,Moreau,43,Male,France,2023-08-31,6460,132448
CUST_x0@ieGBGFk,Liam,Jiménez,44,Female,Spain,2018-06-08,8238,64676
CUST_JdLDk4zXrt,Noah,Garcia,40,Female,United States,2018-05-05,294,1443
CUST_TyvGXw1St9,Antonia,Muñoz,46,Female,Chile,2015-12-16,4827,180288
CUST_h31sAzB10h,Lukas,Weber,51,Male,Germany,2022-08-19,2265,27886
CUST_XoDbhSHabG,Chloé,Martin,64,Female,France,2019-04-21,4153,176290
CUST_G1et2n@gbI,Mia,Wagner,49,Female,Germany,2019-05-10,1102,41082
CUST_6HH45pKEGK,Rodrigo,Santos,49,Female,Portugal,2017-08-19,368,1085
CUST_aD_rgamxHy,Antonia,Soto,46,Female,Chile,2018-01-10,3060,32007
CUST_qecjfKj813,Valeria,González,30,Female,Mexico,2022-08-07,775,11589
CUST_1D8lsIvEl6,Juan,López,47,Male,Colombia,2015-04-09,518,15502
CUST_d0MjFxF3Y7,Paul,Schneider,48,Male,Germany,2015-02-09,552,22404
CUST_Elz-FROO3@,Isabella,Guzmán,69,Female,Peru,2015-07-02,3105,10826
CUST_fTuXKdKrAn,Elijah,Miller,45,Female,United States,2020-01-03,2050,26354
CUST_NYZ-Ohgvzt,Luis,Ramírez,50,Female,Mexico,2021-12-16,3656,69911
CUST_KuazCAOOZe,Emma,Meyer,47,Female,Germany,2018-03-05,3302,31624
CUST_55VQ8JP1LY,Camila,Martínez,36,Male,Argentina,2019-05-07,1238,34035
CUST_RbaFJfZOg7,Theo,Pereira,57,Male,Brazil,2020-06-28,1697,41001
CUST_DqEPazmVyH,Sofía,Torres,54,Male,Mexico,2018-05-13,1141,18446
CUST_VFL@WH89jf,Benjamín,López,54,Male,Argentina,2021-10-04,1496,39025
CUST_g4Nvl_jxHS,Emma,Brown,39,Male,United States,2021-06-20,757,13712
CUST_8emkQ1Wbf@,Sofia,Ferreira,60,Male,Brazil,2022-10-09,2569,44927
CUST_Afn1-WyEBJ,Camila,Torres,34,Male,Argentina,2020-08-18,4758,64885
CUST_A3zLbbPcHF,Luis,Pérez,52,Female,Peru,2018-07-23,867,23627
CUST_fJ@Lt1q@X6,Isabella,González,67,Male,Argentina,2022-05-07,5728,128787
CUST_z4HGsp1O8W,Jules,Dubois,38,Male,France,2016-05-19,2003,20467
CUST_Q5FnIaC1H6,James,Rodriguez,42,Male,United States,2016-09-30,2246,2565
CUST_qYRPYT4JGE,Isidora,González,48,Male,Chile,2020-01-10,392,3125
CUST_8ZcY6@r9Jj,Valentina,Lima,42,Female,Brazil,2020-05-28,355,930
CUST_nX93Iqo47F,Lukas,Fischer,33,Male,Germany,2017-08-30,2058,44996
CUST_hYqfCJTUT5,Ava,Jones,48,Male,United States,2019-03-24,3680,42844
CUST_K6@ov9AHMe,Mateo,Hernández,37,Female,Spain,2025-01-31,988,21057
CUST_m4Pabifnl7,Manon,Durand,51,Male,France,2018-05-08,8128,136614
CUST_4ro46KSz4P,Lucas,de Jong,39,Female,Netherlands,2016-02-22,3503,95042
CUST_t92HGDouDP,Helena,Souza,61,Male,Brazil,2016-03-07,798,28992
CUST_kNA6OEQSv-,Camila,Martínez,40,Male,Chile,2015-05-08,1859,45036
CUST_DM7GZcKm05,Manon,Martin,44,Male,France,2020-05-08,16802,59940
CUST_l@TANTJ1ar,Anna,Becker,54,Male,Germany,2018-04-25,591,808
CUST_sxf3BEvAR5,Jackson,Roy,36,Male,Canada,2022-12-28,2909,32159
CUST_NCmax1yX6m,Sofía,González,49,Female,Colombia,2019-06-09,1352,29117
CUST_AI4LMJWxMq,Mia,Schmidt,59,Female,Germany,2022-11-12,3416,9301
CUST_sG89i9C2IK,Theo,Rodrigues,33,Female,Brazil,2021-02-12,5656,94584
CUST_yq32rho7@x,Julia,Visser,49,Male,Netherlands,2021-01-30,1277,56709
CUST_RRL5yGx8ie,Santiago,Pérez,49,Female,Mexico,2023-05-25,4949,24527
CUST_fPHge3d5sJ,Miguel,Oliveira,54,Non-Binary,Portugal,2016-10-31,13347,633336
CUST_Kt3M3Z5iVg,Camila,López,36,Male,Colombia,2016-01-12,1919,82335
CUST_2ZpOCNSHYF,Mateo,Ruiz,35,Male,Spain,2015-08-10,3664,152690
CUST_UnpgHjhlKU,Noah,Williams,52,Female,United States,2015-03-15,1063,45976
CUST_Ih3uhhnqII,Emma,Wagner,50,Male,Germany,2024-10-24,1840,8211
CUST_V2Gj3vJTSJ,Manon,Martin,49,Female,France,2019-08-22,1542,12310
CUST_rAZJ7Z_8Hi,Oskar,Schulz,50,Male,Germany,2024-06-03,3704,26489
CUST_x4pbPWjdOC,Heitor,Ferreira,41,Male,Brazil,2023-02-08,5347,32117
CUST_0WJPf0iwU1,Sophia,Meyer,49,Male,Germany,2024-03-01,1638,27390
CUST_L9_LtlPBKs,Elijah,Williams,50,Female,United States,2020-06-29,7189,299032
CUST_QeVMNtuDWQ,Sebastián,Hernández,41,Male,Mexico,2022-08-08,7166,92958
CUST_rk2uc35aup,Liam,Miller,64,Male,United States,2017-01-03,3874,48770
CUST_Hu6PIN1CrG,Santiago,Pérez,51,Non-Binary,Argentina,2017-04-29,1136,38575
CUST_JRF38Hww3c,Olivia,Macdonald,36,Female,Canada,2022-03-01,1042,5520
CUST_hsd-t3mHK4,Sofia,Rossi,53,Female,Italy,2024-09-19,870,15950
CUST_d3w1ulJozC,Ben,Müller,38,Female,Germany,2018-08-12,4248,64245
CUST_m6efZpCi9S,Valentina,Morales,54,Male,Colombia,2021-04-30,608,25804
CUST_UjV-5u-AU2,Chloé,Richard,57,Female,France,2017-10-06,3325,86343
CUST_mC4JMZRGUn,Jackson,Taylor,40,Female,Canada,2017-12-29,683,22198
CUST_a6TS_xyTT9,Arthur,Martin,56,Female,France,2016-11-22,3794,26130
CUST_glQ@ML9rWv,María,Gómez,51,Male,Colombia,2015-11-10,1836,85340
CUST_XL@yPwsJA5,Ava,Williams,54,Male,United States,2015-03-29,6005,98851
CUST_k2JBb5Vcl4,Oliver,Brown,64,Male,United States,2017-05-10,5051,179253
CUST_qlZkBoP31F,Ava,Johnson,45,Female,United States,2023-02-02,6578,314126
CUST_N25h1fmf5W,Lucía,López,40,Male,Mexico,2023-01-06,6733,172891
CUST_amXVfnnn3w,Inès,Laurent,39,Male,France,2025-02-03,2058,52732
CUST_C46hHo5HPf,Amelia,Brown,40,Female,Canada,2023-11-09,637,4016
CUST_KsR4fOIdPl,Martina,Martín,46,Female,Spain,2018-07-23,701,13893
CUST_I3wkiv00Bd,Diego,Hernández,50,Female,Mexico,2019-07-25,276,11784
CUST_e9J3dZx6Xv,Noah,Roy,49,Female,Canada,2022-10-09,682,4902
CUST_thm8VB4D@i,Oliver,Miller,54,Male,United States,2020-12-23,1924,88343
CUST_5bnfVzsFeO,Noah,Garcia,47,Male,United States,2022-04-10,1093,36650
CUST_0mD_T@Ol-t,Martín,Martín,60,Female,Spain,2022-08-06,1537,32796
CUST_VQcT4kum@C,Sofía,Gómez,45,Female,Spain,2021-11-08,2817,77613
CUST_owG9fwfU6Q,Arthur,Johnson,71,Female,United Kingdom,2019-02-07,1375,10931
CUST_EtdJRdvRwf,Sofía,García,53,Male,Mexico,2016-07-16,659,7424
CUST_7CtYOqwP3H,Francesco,Rossi,39,Male,Italy,2021-01-20,1723,25289
CUST_jtyXSD28HR,Luis,Quispe,37,Female,Peru,2015-01-02,805,15738
CUST_F_gV0L7qnD,Arthur,Richard,51,Female,France,2019-03-30,1417,64925
CUST_fPfeqymI6T,Carolina,Santos,45,Male,Portugal,2019-12-14,6054,113178
CUST_BYPU0yaF1G,María,Pérez,53,Female,Mexico,2016-11-27,1417,37451
CUST_iTOlRk1bt@,Emma,Richard,51,Male,France,2018-03-16,8900,75831
CUST_iK4oOsx1wJ,Giorgia,Ferrari,46,Male,Italy,2015-11-12,6558,242191
CUST_17y447rlZD,Anna,Meyer,39,Male,Germany,2023-08-29,1073,30295
CUST_S59R8rRrcF,Emma,Bauer,33,Male,Germany,2018-04-27,665,14813
CUST_PJ0e5Q_-rf,Ava,Martinez,43,Female,United States,2024-11-29,1725,81740
CUST_LF-8i-kIlX,Alice,Alves,55,Male,Brazil,2024-03-22,5105,227618
CUST_bk5GH_zi95,Helena,Santos,49,Male,Brazil,2017-11-10,1163,38549
CUST_U@gJYwf7J4,Emma,Durand,36,Male,France,2016-05-24,4094,188855
CUST_uYe5xg1kFc,Sofía,Torres,49,Male,Mexico,2020-08-25,5365,152670
CUST_bX-D-wYX1r,Isabella,Smith,50,Male,United States,2016-02-14,901,37331
CUST_ckRmzK1nCj,Louis,Petit,39,Male,France,2018-08-10,984,20436
CUST_PKUAzLacPw,Emma,Brown,48,Male,Canada,2019-07-11,3434,16462
CUST_mHts9CCrwr,Martina,Fernández,48,Male,Argentina,2018-06-17,2073,103050
CUST_i2@8N68Yki,Agustín,Silva,37,Non-Binary,Chile,2021-02-22,975,8481
CUST_ZdOEzQk6nR,Arthur,Thomas,50,Male,France,2023-09-16,1317,17055
CUST_TWtHdAawGM,Paul,Meyer,52,Female,Germany,2017-02-03,1697,14549
CUST_h3d8nYcGKV,María,Hernández,57,Female,Spain,2016-12-08,442,7605
CUST_ZNcPdDsvP8,Isabella,Jones,56,Female,United States,2016-04-04,3601,53365
CUST_aCfwkUJlC-,Noah,Williams,35,Male,United Kingdom,2020-06-04,1175,35549
CUST_TzKYPJPrvN,Sophia,Meyer,39,Female,Germany,2022-03-19,148,7374
CUST_xIook_6LWV,Paul,Meyer,52,Male,Germany,2023-03-12,1770,5486
CUST_W5ackuiKQO,María,Hernández,52,Female,Mexico,2017-04-29,928,36223
CUST_y1O@nQ6p6Z,Sofia,Ferreira,52,Male,Brazil,2020-06-08,8266,56503
CUST_FG3@oDPC9P,Lukas,Müller,82,Male,Germany,2025-02-03,1068,1583
CUST_I98DLk8BZG,Sofía,López,52,Female,Mexico,2016-06-29,673,21610
CUST_YeazYtMvgm,Matilde,Oliveira,57,Male,Portugal,2019-04-13,2856,124890
CUST_myYBwKMbyP,Francesco,Colombo,56,Female,Italy,2018-02-03,998,9208
CUST_2Lll7HzV2_,Olivia,Roy,53,Male,Canada,2021-12-10,896,15599
CUST_W5-bQBWKz8,Lucas,de Vries,44,Female,Netherlands,2021-09-16,2860,25320
CUST_Exx9f@ZZOb,Luca,Torres,54,Female,Argentina,2023-06-28,709,32169
CUST_mf1K3oX1Du,Diego,Sánchez,40,Male,Mexico,2023-12-17,487,6761
CUST_tv7yT3FEJE,George,Smith,45,Female,United Kingdom,2025-02-17,8548,192444
CUST_CkX6A-crwp,Valentina,Alves,43,Male,Brazil,2020-06-13,3046,136429
CUST_vdZ43-5nfE,Hugo,Jiménez,48,Non-Binary,Spain,2023-10-28,1425,39711
CUST_Yq5dGvjgzc,Sophia,Smith,68,Male,United States,2017-07-23,1802,84110
CUST_4N4kWN5NSt,Matías,Rojas,30,Female,Chile,2016-07-25,2851,132170
CUST_zFavJWbx4d,Louis,Laurent,53,Male,France,2017-03-07,4342,101382
CUST_eqkuOgF0MO,Liam,Johnson,32,Male,United States,2023-09-27,916,26864
CUST_GWawd5@FIO,Mateo,Pérez,43,Male,Peru,2023-10-22,2514,29918
CUST_2_32VgeuEm,Mateo,Salazar,57,Male,Peru,2020-03-04,1146,56763
CUST_AirM_uobve,Diego,Ramírez,48,Male,Peru,2023-11-15,1525,21772
CUST_cBIGbYovV4,María,Martínez,37,Female,Colombia,2023-01-04,2089,82043
CUST_aVVgQb4KAk,Benjamin,Smith,41,Female,Canada,2018-03-27,1797,28738
CUST_at1NE@38oP,Anna,Wagner,53,Male,Germany,2019-04-17,3505,56065
CUST_-SPlf3R2CT,Davi,Alves,40,Female,Brazil,2021-01-18,2803,15812
CUST_z3sj_AEtU5,Sofía,García,49,Male,Mexico,2018-11-01,465,13120
CUST_HyMW4bDdSL,Sofía,González,47,Female,Mexico,2020-09-24,533,6726
CUST_yXvjSpKuW9,Valeria,Martínez,41,Male,Mexico,2022-01-01,1296,10168
CUST_gNmzxq_npu,Manon,Robert,66,Female,France,2022-11-13,9375,109875
CUST_otCSaSA-xr,Sofia,Rodrigues,53,Female,Brazil,2020-10-25,840,10860
CUST_JLlHOKxHUK,Arthur,Santos,29,Female,Brazil,2016-06-19,1499,38153
CUST_eQr6bdxRlo,Liam,Ruiz,49,Female,Spain,2023-08-07,1116,21877
CUST_E@hO9@NOfV,Sophia,Martinez,41,Non-Binary,United States,2017-07-20,1098,4652
CUST_cR9xoD2mAb,Heitor,Alves,55,Female,Brazil,2016-11-15,2123,57392
CUST_T3tHAW1OYv,Leon,Schulz,40,Female,Germany,2018-12-13,6379,251929
CUST_nTjuCID4du,Valentina,Oliveira,46,Female,Brazil,2020-05-25,2725,78820
CUST_mfuEnYdMZP,Giulia,Greco,52,Female,Italy,2015-06-26,877,42745
CUST_j_YBZjbmI2,Amelia,White,55,Male,Canada,2015-06-19,21545,116514
CUST_Osx2G-xSSb,Mia,Bauer,36,Female,Germany,2017-09-29,1941,79866
CUST__CNpiOXZNc,Ava,Davis,44,Female,United States,2019-12-03,1075,27447
CUST_XmJSEnV4dl,Emma,Meyer,43,Non-Binary,Germany,2021-08-11,6444,169599
CUST_YQYNo1qp_B,Ava,Johnson,41,Male,Canada,2017-08-28,1185,31042
CUST_rCfEHD1nKC,Miguel,Pereira,63,Male,Portugal,2017-02-28,8076,134088
CUST_fZAxogyLlW,Lukas,Fischer,51,Male,Germany,2022-01-13,826,13683
CUST_-gBwMpYMVp,Hugo,Sánchez,36,Female,Spain,2024-01-29,6549,208103
CUST_PdzHSS1l51,Alice,Santos,55,Male,Brazil,2024-11-01,2167,5885
CUST_bTmoN8f@28,Amelia,Roberts,66,Female,United Kingdom,2017-01-07,5779,171318
CUST_CwCxg4gOfJ,Miguel,Pereira,56,Male,Brazil,2021-02-08,10012,364109
CUST_CLcsBoDymE,Heitor,Silva,33,Female,Brazil,2016-01-19,652,11826
CUST_HUbKj7jcU7,Louis,Laurent,43,Female,France,2023-09-03,5700,64177
CUST_Dwrx7z6QT-,Valentina,Lima,58,Female,Brazil,2019-02-11,509,5631
CUST_5PH7Se91pi,Valentina,Pérez,41,Male,Argentina,2024-06-17,705,3208
CUST_UA03h-9v1t,Alice,Esposito,51,Female,Italy,2023-10-01,877,4333
CUST_Xr-FkA4Hhc,Paul,Müller,54,Male,Germany,2023-04-23,2845,24897
CUST_aOFUMTTl@c,Sebastián,González,39,Female,Mexico,2019-08-02,1863,2700
CUST_v_opuazk3A,Davi,Ferreira,46,Female,Brazil,2016-06-05,1556,21284
CUST_0PbMFs3Vjf,Oskar,Weber,18,Male,Germany,2021-01-24,2062,32305
CUST_VNgMFc8O7P,Emma,Richard,38,Male,France,2015-12-14,3078,153172
CUST_PeiBeNIbaQ,Lukas,Müller,45,Male,Germany,2024-05-06,3299,163593
CUST_z2skb4Vyk@,Arthur,Jones,36,Male,United Kingdom,2023-01-07,4840,47233
CUST_K@bSyA712S,Amelia,Johnson,62,Female,Canada,2023-05-06,9302,102741
CUST_QFhJYyWyFQ,Sophia,Martinez,34,Non-Binary,United States,2024-10-22,1774,44083
CUST_@hhZb-3yWO,Lucas,Gómez,43,Female,Spain,2015-05-01,1131,8895
CUST_EYv7si1nGd,Tess,Smit,48,Male,Netherlands,2020-08-16,3141,79938
CUST_nd5HS3M-dD,Liam,Martinez,60,Female,United States,2020-11-01,646,13094
CUST_-LJWdLG3k-,Emma,Bernard,34,Female,France,2025-01-27,982,16271
CUST_4-NFO_xRSz,Oliver,Taylor,57,Female,United Kingdom,2019-12-03,4445,183218
CUST_PGZUWaKjZP,Lucas,López,47,Male,Spain,2019-06-21,1617,67092
CUST_O1l_WoAMIF,Hannah,Becker,38,Female,Germany,2021-08-26,609,30085
CUST_tqQEWS@zKy,Isidora,Soto,51,Male,Chile,2016-03-21,473,5460
CUST_-cU51lPJjf,Manon,Bernard,49,Male,France,2018-02-19,1889,84003
CUST_KHPhISPYeb,Mia,Schneider,42,Female,Germany,2022-01-07,5053,137054
CUST_BZHV9rzFfc,Hugo,Pérez,48,Male,Spain,2019-07-27,4992,148648
CUST_PXFz5wtG1L,Giulia,Esposito,44,Male,Italy,2024-09-10,1998,89643
CUST_3rZKehDL88,Isidora,Rodríguez,48,Male,Chile,2018-10-28,11026,519989
CUST__PDSw5YPl-,Alessandro,Colombo,53,Female,Italy,2024-03-29,1645,60005
CUST_UMDvEC66TN,María,Sánchez,61,Female,Mexico,2021-05-03,1596,28278
CUST_5b_-oY4Ns4,Sophia,Johnson,36,Male,United States,2023-09-30,179,4428
CUST_2n9rDQP_TX,Léa,Bernard,66,Female,France,2024-07-15,1209,37413
CUST_kdxg_5pAHu,Sophia,Johnson,29,Male,United States,2023-07-19,3893,161628
CUST_2-8cQsWHF9,Benjamin,Smith,46,Male,Canada,2021-11-02,7388,244309
CUST_iNoIU2NARb,Mateo,Hernández,52,Non-Binary,Mexico,2015-01-23,856,15913
CUST_7gsbrlkP_h,Emma,Schneider,50,Female,Germany,2020-12-01,2741,58068
CUST_eiz9VJgTEs,Benjamin,Smith,41,Female,Canada,2022-02-14,4639,13902
CUST_u_HWTbdGby,Jules,Petit,45,Female,France,2024-03-05,1826,84455
CUST_oLGOkFzHxM,Alice,Ferreira,43,Male,Brazil,2021-11-27,232,1128
CUST_1o01PeIv4G,Tess,de Boer,42,Female,Netherlands,2019-09-12,2259,65978
CUST_dW2EmaxYQc,Isabella,Rodríguez,55,Male,Colombia,2021-01-20,3588,156605
CUST_jH9pX_vAWG,Harry,Roberts,50,Female,United Kingdom,2024-10-09,771,16448
CUST_IplRJmvE_0,Mateo,Pérez,41,Female,Spain,2016-03-11,1438,57673
CUST_ekQ1zg9INf,Paul,Schmidt,55,Female,Germany,2022-01-01,639,25745
CUST_0P1t_oR7yN,Oskar,Fischer,50,Female,Germany,2018-12-02,179,620
CUST_iGtTbfcH_e,Heitor,Ferreira,54,Female,Brazil,2023-03-16,4556,95225
CUST_QXhYfynSAl,Agustín,Contreras,53,Male,Chile,2025-02-05,1802,62540
CUST_WAwgJ8Jjjk,Ben,Schulz,40,Male,Germany,2017-08-26,7615,163010
