ID,FIRST_NAME,LAST_NAME,AGE,GENDER,COUNTRY,CREDIT_LIMIT,CUSTOMER_LIFETIME_VALUE
CUST_ifJFkGZXAN,"""Ana""","""Hernández""",48,Female,MX,"$2,586 ","'30,870'"
CUST_PGcan7Je34,'Anna',"""Schäfer""",56,Female,DE,"$1,276 ","'9,191'"
CUST_LI-inIgeXf,'Emily','Anderson',20,Female,United States,"$4,842 ","'93,318'"
CUST_DNwCysxXGf,"""Anna""",'Schäfer',56,Female,Germany,"$11,325 ","'428,225'"
CUST_wl3KUBSqqQ,"""Ben""","""Schmidt""",51,Male,DE,$480 ,"'20,720'"
CUST_9UCIPoruE5,"""Laura""",'Fischer',60,Female,Germany,"$4,149 ","'2,202'"
CUST_KTDogD6aOF,"""Santiago""",'Rodríguez',43,Male,co,"$1,058 ","'27,872'"
CUST_fvG7Hzo7Dv,"""Matthew""","""Johnson""",35,Male,US,"$2,521 ","'37,713'"
CUST_uzNcEMtgYk,'Camila',"""Sánchez""",62,Female,Colombia,"$3,728 ","'158,205'"
CUST_ey_RT6toWq,"""Emma""",'Greco',40,Female,IT,"$10,146 ","'6,104'"
CUST_NTJuNmojbm,"""Agustina""",'García',25,Female,AR,"$1,007 ","'43,435'"
CUST_qa5won7GCm,"""Maximiliano""","""Soto""",44,Male,Chile,$426 ,"'19,555'"
CUST_sO8KEkdfAu,"""Carlos""",'Martínez',51,Male,MX,"$7,547 ","'272,025'"
CUST_fqzVtX@N_6,"""Camila""","""Rodríguez""",40,Female,AR,"$3,557 ","'75,540'"
CUST_iK4oOsx1wJ,"""Martina""","""Marino""",46,,it,"$6,558 ","'242,191'"
CUST_F_HIhpzqLr,"""Ariana""",'López',45,Female,pe,"$11,927 ","'42,257'"
CUST_-KLITeX9_c,"""Camila""","""Sánchez""",52,Female,Colombia,"$2,886 ","'77,131'"
CUST_UXtjN2tUXt,"""Adam""","""Durand""",59,Male,FR,"$1,369 ","'10,437'"
CUST_tRWs@DaEaN,"""Camila""","""Torres""",49,Female,co,"$2,991 ","'41,508'"
CUST_mPfz1kJPRU,"""Olivia""",'Johnson',42,Female,us,$391 ,"'7,583'"
CUST_juKz0RBC5t,"""David""",'Wilson',65,Non-Binary,US,"$1,028 ","'47,393'"
CUST_3g6mDYNoCB,'Ben',"""Hoffmann""",39,Male,Germany,"$3,941 ","'134,321'"
CUST_KuazCAOOZe,'Hannah','Müller',47,,DE,"$3,302 ","'31,624'"
CUST_G3tydg_A25,'Ava','Davis',60,Female,United States,$488 ,"'13,863'"
CUST_-d4o2@CBjp,'Daniela',"""Sánchez""",46,Female,Mexico,$481 ,"'15,658'"
CUST_ZbqQj_N5ug,"""Leon""","""Schmidt""",44,Male,DE,"$5,525 ","'217,530'"
CUST_VjCv@3E3HR,'Oliver','Roy',36,Male,ca,$974 ,"'47,336'"
CUST_9nTE9zhrw_,"""Ana""",'Pereira',59,Female,Brazil,"$1,037 ","'15,228'"
CUST_afXShgVW8J,'Charlotte','Miller',38,Female,US,"$3,633 ","'170,112'"
CUST_QiDeS8U1eH,'Gabriel','Santos',49,Male,Brazil,"$1,315 ","'28,612'"
CUST_g7XHIn7@da,"""Camila""","""Souza""",40,Female,br,"$2,632 ","'63,260'"
CUST_lA1nPBT6sW,'Benjamín','Soto',53,Male,cl,"$1,127 ","'41,281'"
CUST_6Ke5vAvbmK,"""Chiara""",'Esposito',43,Female,Italy,"$1,983 ","'75,291'"
CUST_omrLYFw7vD,'Camila',"""Huamán""",49,Female,pe,$632 ,"'30,187'"
CUST_a-ycmXQZOA,"""Robert""",'Smith',64,Male,United States,$341 ,"'2,327'"
CUST_H2XJCedfFc,'Bruno',"""Alves""",60,Male,br,"$1,550 ","'29,741'"
CUST_3-DHUGQWTi,"""Nathan""",'Thomas',41,Male,France,"$1,626 ","'8,566'"
CUST_p3RFeh0Hhw,'Gustavo',"""Rodrigues""",49,Male,BR,"$1,964 ","'93,881'"
CUST_xdIoqn00pf,"""Beatriz""","""Pereira""",38,Non-Binary,br,$590 ,"'6,777'"
CUST_G5QHIkTVuc,"""Inès""","""Robert""",42,Female,France,$530 ,"'1,189'"
CUST_BQV7tbFnuM,'Gabriel','Richard',87,Male,France,"$2,577 ","'62,391'"
CUST_lQKVV7cbxB,'Fernanda',"""Pereira""",50,Female,Brazil,"$1,856 ","'77,985'"
CUST_2KimZZaG4N,'Gabriel','Dubois',46,Male,fr,"$1,973 ","'43,283'"
CUST_aogDv5guv4,'Alice','Romano',49,Female,it,$538 ,"'8,582'"
CUST_qqa06SkCwM,'Tomás',"""Fernández""",41,Male,ar,"$1,264 ","'60,641'"
CUST_B7xsI8HXlg,"""Gabriel""",'Alves',49,Male,BR,$340 ,"'10,071'"
CUST_yqGX-u_mq3,"""Jules""","""Moreau""",70,Male,France,$749 ,"'32,955'"
CUST_rOa3dWoRZO,"""John""","""Moore""",41,Male,us,"$2,253 ","'5,910'"
CUST_w78uuHrdPu,"""Daniel""","""Davis""",61,Male,US,"$3,928 ","'164,892'"
CUST_XwLv2MGe_Y,"""Jacob""",'Tremblay',37,Male,Canada,"$3,583 ","'31,340'"
CUST_0kCARpCsWD,"""Jorge""","""Sánchez""",29,Male,MX,"$1,466 ","'47,994'"
CUST_OTvExnetOF,"""Daniela""",'Flores',51,Female,Peru,"$1,482 ","'67,981'"
CUST__rB_bTu7WE,"""Finn""","""Müller""",42,Male,DE,"$4,493 ","'82,290'"
CUST_YQjGSTOiu-,"""Renata""",'Huamán',58,Female,Peru,"$1,400 ","'19,646'"
CUST_abrosz81GV,"""Lucas""",'Bakker',50,Male,Netherlands,$912 ,"'14,651'"
CUST_-Ru_qBCg7X,'Joseph',"""Brown""",47,Male,US,"$17,696 ","'121,020'"
CUST_kK_sQnGIaK,"""Luis""",'Gonzales',58,Male,Peru,"$6,902 ","'231,760'"
CUST_JHn0ofLQxs,"""Ana""",'Pérez',63,Female,Mexico,"$1,059 ","'28,162'"
CUST_r0kLP2-QuB,'Diego',"""Díaz""",45,Male,es,"$1,976 ","'64,750'"
CUST_DVoyU0MjVH,'Tomás','Pérez',55,Male,AR,"$1,557 ","'65,902'"
CUST_PcF9pScbIA,'Hugo',"""Martin""",48,Male,France,$247 ,"'6,434'"
CUST_EdMSFEN5VX,'Anna',"""Weber""",49,Female,de,"$3,569 ","'137,605'"
CUST_D9WGdbKw7d,"""Sofía""",'Hernández',49,Female,es,"$4,089 ","'132,122'"
CUST_0nhCCdRh89,"""Olivia""","""Wilson""",56,Female,US,"$4,404 ","'81,438'"
CUST_xurUjLgp2H,'Sofía','López',47,Female,Mexico,$550 ,"'24,526'"
CUST_Qcz0IsNAk0,"""Inès""",'Thomas',51,Female,fr,"$3,306 ","'144,028'"
CUST_MrNo@wnB5I,'Michael',"""Anderson""",35,Male,us,$562 ,"'12,857'"
CUST_RURYzK-Cdp,"""Carla""","""Ruiz""",56,Female,ES,"$4,295 ","'2,935'"
CUST_TmBPLh7vSm,'Tommaso',"""Colombo""",30,,IT,"$21,459 ","'1,016,084'"
CUST_Vf9b7a5C0P,'Mia','Wagner',58,Female,de,$224 ,"'3,721'"
CUST_s@aCVz4RQc,'Leonie',"""Wagner""",45,Female,Germany,"$8,517 ","'391,957'"
CUST_C-l9AikZ9I,"""Amanda""","""Oliveira""",33,Female,Brazil,"$4,634 ","'45,836'"
CUST_pCmSeNCxP3,"""Léa""","""Dubois""",51,Female,fr,$677 ,"'31,431'"
CUST_2wX5eh6yyG,"""Carlos""","""Ramírez""",33,Male,MX,$940 ,"'23,098'"
CUST_OUAqNYVqn6,'Grace','Taylor',36,Female,GB,"$1,005 ","'48,556'"
CUST_HyIWsIh3tf,"""Alice""","""Martin""",36,Female,France,"$5,288 ","'96,233'"
CUST_lZuBDcGe0v,'Adam','Petit',41,Male,France,$493 ,"'8,978'"
CUST_1n@vEyMwqc,'Lotte','van Dijk',59,Female,NL,"$2,736 ","'97,136'"
CUST_KKx6QmSIcl,"""Inès""","""Laurent""",67,Female,France,"$2,392 ","'113,629'"
CUST_tzj@ZR-uU9,'José',"""Hernández""",58,Male,mx,"$1,352 ","'11,798'"
CUST_D54BVVY4iu,'Nicolás','Sepúlveda',50,Male,Chile,"$1,622 ","'79,475'"
CUST_6Yztb3EJ6k,'Marie','Wagner',48,Female,de,"$1,538 ","'68,288'"
CUST_jCpy0zjG7h,"""Guadalupe""","""Hernández""",59,Female,Mexico,"$2,797 ","'93,912'"
CUST_nqLChNwSYh,"""Charlie""","""Roberts""",52,Male,gb,"$1,167 ","'24,175'"
CUST_6TN6V7YUN4,'Louis','Thomas',40,Male,FR,"$1,295 ","'39,237'"
CUST_XMq8dA6@hs,"""Emily""",'Johnson',27,Female,United States,"$1,470 ","'61,626'"
CUST_xlVfIJt9nd,"""Julia""","""Hernández""",42,Female,Spain,"$4,151 ","'109,613'"
CUST_Qyp8lxVbrD,'Diego','Lima',53,Male,BR,$714 ,"'7,378'"
CUST_9kXLB3Bokb,'Emma','Meyer',40,Female,Germany,"$5,445 ","'177,785'"
CUST_KaN6LYy7Rn,"""James""","""Miller""",52,Male,us,"$3,634 ","'69,566'"
CUST_QZHdqwZqmf,"""Sophia""",'Taylor',34,Female,United States,$873 ,"'30,537'"
CUST_PbKFHhoTe9,'Bruno','Costa',27,Male,br,$315 ,"'11,156'"
CUST_0GQ0bq6BbF,"""Lina""",'Hoffmann',55,Female,de,$636 ,"'30,798'"
CUST_ljT00A-doG,'Adam',"""Petit""",33,Male,fr,"$1,224 ","'26,439'"
CUST_rIlHX-_Lck,'Julia','Ferreira',49,Female,br,"$1,978 ","'68,216'"
CUST_mNSnPfltZj,'Francesca','Romano',52,Female,it,"$4,172 ","'121,431'"
CUST_NSv6eaOD2w,'Sofía',"""Sánchez""",51,Non-Binary,Peru,"$1,798 ","'31,615'"
CUST_1_w0rlO-B1,'Carlos','Sánchez',45,Male,mx,$305 ,"'13,724'"
CUST_0VI_yJ1O4L,'Emilia',"""Díaz""",43,Female,Chile,"$3,878 ","'79,260'"
CUST_nffeoFAP9a,"""Ethan""","""Martin""",45,Male,fr,$809 ,"'17,103'"
CUST_lDW@4imMI7,'Lina','Martin',43,Female,FR,"$3,129 ","'130,840'"
CUST_-q26yjE1z-,"""María""","""Hernández""",39,Female,Colombia,"$3,818 ","'124,313'"
CUST_6APQP2bVCf,'Amanda',"""Silva""",52,Female,br,"$11,070 ","'514,865'"
CUST_fUeRR9G0zo,'Alejandro',"""Gómez""",36,Male,ES,"$1,375 ","'45,077'"
CUST_wU3nh6KD9b,'Mia',"""Miller""",46,Female,US,$759 ,"'20,411'"
CUST_rCuZeldIlu,"""Emily""",'Wilson',47,Female,United States,"$3,675 ","'161,330'"
CUST_itsO5DhX_8,"""Fernando""",'Huamán',40,Male,PE,$661 ,"'6,116'"
CUST_j91laigxub,"""Léa""","""Thomas""",51,Female,France,"$1,265 ","'61,801'"
CUST_XL0WF-rOmJ,'Santiago','Pérez',61,Male,Peru,"$23,161 ","'578,597'"
CUST_QCMxHF84Fw,'Beatriz','Souza',57,Female,br,"$1,005 ","'9,434'"
CUST_T74vSer5NJ,'Bruno','Silva',31,Male,br,$584 ,"'28,166'"
CUST_96x3d2yK_s,'Emma','Jansen',50,Female,nl,"$8,838 ","'162,467'"
CUST_Laa0trrZOO,"""Tijn""","""Bakker""",56,Male,Netherlands,"$1,699 ","'24,426'"
CUST_tZKg4Ch_o8,"""Andrew""","""Thomas""",41,Male,United States,$866 ,"'39,834'"
CUST_mh3pxBGDly,"""Larissa""",'Oliveira',57,Female,BR,"$2,793 ","'21,620'"
CUST_FFnEdd2Tpp,"""Inès""",'Thomas',56,,FR,"$1,165 ","'15,269'"
CUST_N4bzHcklkc,"""Agustín""",'Díaz',52,Male,Chile,"$4,658 ","'181,623'"
CUST_@eKx5HB@Ez,"""Camila""",'Lima',46,Female,BR,"$1,268 ","'19,096'"
CUST_8vzOmoAeDP,'Emma',"""Fischer""",47,Female,DE,"$3,300 ","'164,132'"
CUST_khBSfdGoOk,"""Ana""","""Rodríguez""",53,Female,ar,$461 ,"'22,988'"
CUST_eK9JaDgPQk,"""Rafael""","""Alves""",42,Male,BR,"$3,017 ","'126,601'"
CUST_hRH81MvTFa,'Mía',"""Rodríguez""",36,Female,AR,$588 ,"'11,991'"
CUST_ABPbQLrduA,"""Freya""","""Evans""",68,Female,GB,$685 ,"'5,236'"
CUST_CucQt0WtbH,"""Diego""","""Pérez""",35,Male,ar,"$9,084 ","'80,461'"
CUST_r2ZAzB5yZJ,'John','Smith',43,Male,United States,"$6,255 ","'78,287'"
CUST_FIIIrMF5tt,'Ana','Ramírez',43,Female,MX,"$1,312 ","'6,226'"
CUST_Z9CLl-uMHO,'Emma',"""Marino""",50,Female,it,$835 ,"'10,548'"
CUST_p7_5N23qUr,'Beatriz','Costa',56,Female,BR,"$2,177 ","'20,928'"
CUST_DQmSwSwvou,"""Emma""","""Ruiz""",31,Female,ES,"$3,495 ","'2,526'"
CUST_J1d3ywuL8h,'Afonso','Rodrigues',37,Male,Portugal,"$3,363 ","'140,720'"
CUST_xtgaJ4vWxY,'Mia','Schmidt',63,Female,de,"$3,173 ","'21,443'"
CUST_YJkd1X0vrB,"""Mariana""",'Souza',51,Female,br,"$1,532 ","'14,183'"
CUST_lOhqUvFyQq,'Poppy','Davies',30,Female,gb,"$1,496 ","'64,737'"
CUST_EqipGnNvwq,"""Jorge""","""Sánchez""",38,Male,Mexico,$244 ,"'2,739'"
CUST_kj_QQPxtBT,'Mia','Schmidt',43,Female,DE,"$9,567 ","'164,515'"
CUST_Md@DMVS9kA,'Lucas','Brown',64,Male,CA,"$2,060 ","'30,239'"
CUST_uHBySWp0vN,'Joseph','Moore',49,Male,us,$971 ,"'24,383'"
CUST_v8F1DeDazA,'Felix','Meyer',56,Male,DE,"$1,714 ","'50,330'"
CUST_LKb5krJfJo,"""Maria""","""Rodrigues""",56,Female,Portugal,"$3,094 ","'77,674'"
CUST_XRFLrADP5g,"""Miguel""",'Huamán',51,Male,Peru,$378 ,"'4,828'"
CUST_Jgd6uGIuCU,'Carolina',"""Santos""",57,Female,br,"$2,082 ","'39,026'"
CUST_RHpWQPkgq6,"""Ava""",'Brown',39,Female,United States,"$9,169 ","'312,845'"
CUST_Ls3Goa7WN0,"""Laura""",'Wagner',62,Female,de,"$1,942 ","'17,013'"
CUST_nwn5Wlt4fU,'Andrés',"""Ramírez""",51,Male,CO,"$1,036 ","'5,508'"
CUST_f4D1AN_sSg,'Samuel',"""González""",59,Non-Binary,co,$283 ,"'10,063'"
CUST_hJnj91iYk6,"""Diego""",'Sánchez',40,Male,ar,"$1,694 ","'28,397'"
CUST_9IFMLscm_9,'Rafael',"""Lima""",37,Male,Brazil,$598 ,"'6,685'"
CUST_biZ80OKn6Z,"""Paul""","""Becker""",56,Male,Germany,"$4,576 ","'45,774'"
CUST_fG9PrSXvwh,"""Martina""","""Marino""",50,Female,it,$343 ,"'6,418'"
CUST_FAc1s--x41,'Daniel',"""Johnson""",70,Male,US,$958 ,"'44,138'"
CUST_l9zXrusM8t,'Jade',"""Laurent""",39,Female,FR,"$3,061 ","'16,017'"
CUST_9mWeqxhD0r,'Ben','Wagner',47,Male,de,"$2,338 ","'105,239'"
CUST_xMUnm3spPF,'Tiago',"""Pereira""",39,Male,pt,"$9,980 ","'318,869'"
CUST_df1NKkJCSd,'Harper','Davis',30,Female,us,$621 ,"'28,765'"
CUST_GoLaT8WKkW,'Antonia',"""Pérez""",38,Female,CL,"$1,481 ","'68,743'"
CUST_sQxW2_7P00,'Camila',"""Ramírez""",30,Female,mx,"$4,466 ","'209,926'"
CUST_7SJZx6IPfX,"""Alice""","""Laurent""",38,Female,France,"$3,312 ","'160,540'"
CUST_zyrBpX70Ss,"""Afonso""","""Ferreira""",47,Male,Portugal,$217 ,"'8,709'"
CUST_ZH_Dmg@hmB,"""Gabriel""","""Souza""",36,Male,BR,$773 ,"'35,725'"
CUST_4mJBS8tDNR,'Alice',"""Petit""",49,Female,France,"$1,017 ","'4,488'"
CUST_R-WEajskxU,"""Lucas""",'Roy',58,Male,CA,"$1,813 ","'55,055'"
CUST_62qPJitIGk,'Matthew','Taylor',53,Male,US,$919 ,"'7,484'"
CUST_1OJL86ARSq,'Sophie',"""Bakker""",65,Female,nl,"$1,986 ","'75,491'"
CUST_JL@kmTM7IK,"""Hugo""",'Petit',38,Male,France,"$1,765 ","'85,028'"
CUST_b99Uh_bh3x,"""Harper""","""Smith""",52,Female,us,$644 ,"'26,897'"
CUST_ansZuGvaSw,"""Julia""","""van den Berg""",58,Female,nl,"$1,748 ","'40,846'"
CUST_Z7dGJ-ph_I,'Ava',"""Smith""",48,Female,US,"$2,255 ","'73,151'"
CUST__yesyMMevO,'Leandro',"""Sánchez""",34,Male,AR,"$3,886 ","'17,667'"
CUST_Z8@2YAfe-X,"""Ana""","""Romero""",67,Female,ar,"$3,158 ","'80,760'"
CUST_o9zPYsmEsd,'Léa',"""Moreau""",33,Female,fr,"$2,252 ","'32,116'"
CUST_Qa0Hua4kw3,'Nathan',"""Richard""",49,Male,FR,"$6,342 ","'269,792'"
CUST_CFABFFlyob,"""Eva""","""Visser""",53,Female,nl,"$1,125 ","'45,923'"
CUST_MI69Jj8aCw,'María',"""Pérez""",37,Female,MX,$423 ,"'10,168'"
CUST_wtUlCAJpIV,'Ángel',"""Sánchez""",44,Male,mx,"$1,377 ","'8,693'"
CUST_T@NvEJycal,'Anna','Schäfer',46,Female,de,$860 ,"'28,574'"
CUST_Ue7dtHtpY_,"""Valeria""","""Pérez""",44,Female,mx,"$2,075 ","'81,963'"
CUST_s1etAnhun_,"""Anna""",'Visser',44,Female,nl,"$1,791 ","'2,826'"
CUST_McMYrBNsJb,"""Guilherme""","""Sousa""",53,Male,pt,"$1,157 ","'35,168'"
CUST_7TCEjmtSlO,'Andrea','Torres',67,Female,MX,"$1,094 ","'19,632'"
CUST_jfpdWHQm3R,'Daniela',"""Huamán""",48,Female,PE,$516 ,"'10,418'"
CUST_u879sYh9zF,"""Emma""",'Taylor',54,Female,United States,"$7,682 ","'270,439'"
CUST_cV8xtu6YJS,"""José""","""González""",69,Male,Mexico,"$2,183 ","'33,737'"
CUST_JZ7qFjXFei,'Ava',"""Johnson""",44,Female,United States,"$1,722 ","'56,110'"
CUST_RYEQZcmD8v,"""Matheus""",'Souza',43,Non-Binary,Brazil,"$2,459 ","'54,154'"
CUST_R56JDTLCkp,"""Louis""","""Thomas""",52,Male,FR,"$1,077 ","'11,022'"
CUST_R9ZZK02oeQ,'Maria',"""Santos""",47,Female,pt,"$3,984 ","'3,585'"
CUST_tTZFsqYtcI,'Martim',"""Silva""",44,Male,pt,"$1,658 ","'29,625'"
CUST_2Js96NgblV,'Gustavo','Rodrigues',50,Male,br,"$2,332 ","'50,385'"
CUST_QD-Ma_Q9vV,'Louise','Robert',36,Female,FR,"$1,173 ","'22,276'"
CUST_m6nj9C7DKF,"""Camila""","""Santos""",51,Female,BR,"$3,800 ","'30,433'"
CUST_S3uGh8Co-P,"""Felix""",'Wagner',53,Male,Germany,"$1,509 ","'43,060'"
CUST_FuvmKXJvRU,'Sophie','Janssen',43,Female,NL,"$1,270 ","'36,855'"
CUST_nQc6cSMHea,'Matthew','Miller',43,Male,us,"$1,084 ","'21,924'"
CUST_9iWR5Wsc1A,"""Luuk""",'Smit',31,Male,Netherlands,"$1,378 ","'20,930'"
CUST_odKIbVPEAj,"""Paulina""","""Flores""",52,Female,MX,"$5,843 ","'113,108'"
CUST_iI@YgT6Pio,'John',"""Thomas""",37,Male,us,"$1,348 ","'63,756'"
CUST_SKBkiAexdU,'Rafael','Santos',34,,Brazil,$384 ,"'10,636'"
CUST_Bvptx-D-X7,'Mia',"""Müller""",41,Female,de,"$2,063 ","'87,219'"
CUST_fwHBnoaXUp,'Manon','Martin',57,Female,France,"$3,773 ","'187,823'"
CUST_00f6VeqcwK,'Amanda','Oliveira',40,Female,Brazil,"$8,818 ","'335,517'"
CUST_gwvFHpOAja,'Beatriz','Souza',32,Female,BR,"$1,365 ","'10,040'"
CUST__O9aQ6NCls,"""Luca""","""Rossi""",61,Male,Italy,"$9,118 ","'42,339'"
CUST_qm8KSdvZh_,'Camila','Costa',40,Female,BR,"$2,065 ","'40,282'"
CUST_m-Mp1_@lzM,'Adam',"""Richard""",59,Male,fr,"$2,127 ","'6,616'"
CUST_krNO53GUTH,"""Bruno""",'Lima',21,Male,br,"$1,548 ","'63,608'"
CUST_2@ov2syCq@,'Fernanda',"""Hernández""",40,Female,Mexico,$676 ,"'24,983'"
CUST_3dMFdbrkrM,"""Andrew""","""Moore""",46,Male,us,"$2,030 ","'26,283'"
CUST_0m@CEFjxh5,'Isabella','Torres',45,Female,CO,"$2,262 ","'12,941'"
CUST_mgA7YQx9gs,"""Felix""",'Fischer',58,Male,de,"$4,038 ","'57,122'"
CUST_U1lVsGrn_B,"""Sofía""",'González',54,Female,mx,"$7,374 ","'260,469'"
CUST_7lInb8rykj,"""Ethan""",'Bernard',39,Male,fr,"$5,637 ","'42,533'"
CUST_nDg-vTjMwR,'Finn','van Dijk',58,Male,NL,$369 ,"'16,038'"
